text,date,sender,clean_text
"🏷️ Clark's ™ 
Made In Turkey 
〰〰〰〰〰〰〰〰〰〰〰
📐Size #40 #41 #42 #43 #44
💰 Price: 6500 br 
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 

🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-16 10:05:56+00:00,marakibrand," Clarks  
Made In Turkey 

Size 40 41 42 43 44
 Price 6500 br 
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 

 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"🏷️  BRUNELLO CUCINELLI    (Quality👌)
Made In ITALY 
〰〰〰〰〰〰〰〰〰〰〰
📐Size  #40#41 #42#43 #44
💰 Price:  9000Br
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 
🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-13 13:30:19+00:00,marakibrand,"  BRUNELLO CUCINELLI    Quality
Made In ITALY 

Size  4041 4243 44
 Price  9000Br
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 
 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"🏷️ Airforce 1 ™ 
Made In Vietnam 
〰〰〰〰〰〰〰〰〰〰〰
📐Size   #40 #41 #42 #43 
💰 Price:  5500 Br
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 
🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-10 09:56:11+00:00,marakibrand," Airforce 1  
Made In Vietnam 

Size   40 41 42 43 
 Price  5500 Br
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 
 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"🏷️  Ecco 
〰〰〰〰〰〰〰〰〰〰〰
📐Size #40#41#42 #43 #44
💰 Price:  9000 Br
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 
🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-10 09:52:03+00:00,marakibrand,"  Ecco 

Size 404142 43 44
 Price  9000 Br
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 
 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"100% Cotton Men's Casual Long Sleeve 
3500 br
Size M,L, XL, XXL 3XL 

⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-04 13:19:17+00:00,marakibrand,"100 Cotton Mens Casual Long Sleeve 
3500 br
Size ML XL XXL 3XL 


Maraki Brand ማራኪ ብራንድ 
"
"100% Cotton Men's Casual T-shirt
Quality 👌
2500 Br
Size M,L, XL, XXL 3XL 4XL

⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-03 08:17:04+00:00,marakibrand,"100 Cotton Mens Casual Tshirt
Quality 
2500 Br
Size ML XL XXL 3XL 4XL


Maraki Brand ማራኪ ብራንድ 
"
"ADIDAS CAMPUS™ 
Made In VIETNAM 
〰〰〰〰〰〰〰〰〰〰〰
📐Size: #40  #41 #42 #43 
💰 Price: 4000 Br 
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 

🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2025-01-02 14:16:21+00:00,marakibrand,"ADIDAS CAMPUS 
Made In VIETNAM 

Size 40  41 42 43 
 Price 4000 Br 
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 

 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"Nike Air Max 1 ™ 
Made In VIETNAM 
〰〰〰〰〰〰〰〰〰〰〰
📐Size: #40  #41#42 #43 
💰 Price: 5500 Br 
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 

🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2024-12-23 17:41:52+00:00,marakibrand,"Nike Air Max 1  
Made In VIETNAM 

Size 40  4142 43 
 Price 5500 Br 
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 

 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"🏷️ Airforce Boots ™ 
Made In Vietnam 
〰〰〰〰〰〰〰〰〰〰〰
📐Size   #40 #41 #42 #43 
💰 Price:  5500 Br
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 
🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2024-12-07 11:59:09+00:00,marakibrand," Airforce Boots  
Made In Vietnam 

Size   40 41 42 43 
 Price  5500 Br
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 
 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
"🏷️ ALLSTAR™ Convers chuck taylor double sol 
Made In Vietnam 
〰〰〰〰〰〰〰〰〰〰〰
📐Size   #40 #41 #42 #43 
💰 Price:  4500  Br
┃Free Delivery┃ 
✄〰〰〰〰〰〰〰〰〰〰
📩 INBOX : @Maraki2211 
📲 ስልክ : +251 913321831 
🚩 አድራሻ - አዲስ አበባ, ሜክሲኮ፡ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ፡ የሱቅ ቁ.012
⊰━━━━━━━⊱⊰━━━━━━━⊰
Maraki Brand™ ┃ማራኪ ብራንድ™ 
⊰━━━━━━━⊱⊰━━━━━━━⊱",2024-12-05 07:02:46+00:00,marakibrand," ALLSTAR Convers chuck taylor double sol 
Made In Vietnam 

Size   40 41 42 43 
 Price  4500  Br
Free Delivery 

 INBOX  Maraki2211 
 ስልክ  251 913321831 
 አድራሻ  አዲስ አበባ ሜክሲኮ ከ ኬኬር ህንጻ 50ሜ ወረድ ብሎ አይመን ህንፃ  ግራውንድ ፍሎር ላይ የሱቅ ቁ012

Maraki Brand ማራኪ ብራንድ 
"
